"Country","国家"
"Allowed Credit Card Types","无法更新送货方式"
"Add Rule","添加规则"
"Month","年"
"Year","年 "
"Stored Card","请选择地区、州，或省"
"Credit Card Type","卡片验证号码"
"Credit Card Number","信用卡卡号"
"Credit card successfully added","信用卡已成功添加"
"Something went wrong while saving the card.","保存卡时出了错。"
"Credit card does not exist","信用卡不存在"
"Delete Credit Card","删除信用卡"
"There was error deleting the credit card","删除信用卡时出错"
"Credit card successfully deleted","信用卡已成功删除"
"Edit Credit Card","编辑信用卡"
"My Credit Cards","我的信用卡"
"New Credit Card","新的信用卡"
"There was error during saving card data","在卡数据保存过程中，出现了错误"
"We can't initialize checkout.","我们不能初始化校验。"
"Please agree to all the terms and conditions before placing the order.","请在下订单前同意所有的条款和条件。"
"We can't place the order.","我们不能下订单。"
"Incorrect payment method.","不正确的支付方式。"
"We can't initialize checkout review.","我们不能初始化校验审查。"
"We can't update shipping method.","我们不能更新的运输方法。"
"The processor declined your transaction, please re-enter your payment information","处理器拒绝您的交易，请重新输入您的付款信息"
"Transaction declined by gateway: Check card details or try another card","交易下跌网关: 检查卡的详细资料，或尝试另一个卡"
"Transaction declined: ","拒绝的交易:"
".","."
"The processor responded with an unknown error","处理器响应未知错误"
"Credit card type is not allowed for your country.","你的国家不允许信用卡类型。"
"Credit card type is not allowed for this payment method.","对于此付款方式不允许信用卡类型。"
"Selected payment type is not allowed for billing country.","对于计费国家不允许所选的付款类型。"
"Incomplete payment information.","不完整的支付信息。"
"Please try again later","请稍后再试"
"Can not find original authorization transaction for partial capture","找不到部分捕获的原始授权交易。"
"There was an error capturing the transaction: %1.","捕获交易时出错: %1。"
"This refund is for a partial amount but the Transaction has not settled.","此退款为部分金额但该交易尚未解决。"
"Please wait 24 hours before trying to issue a partial refund.","请等待 24 小时之前试图发出部分退款。"
"There was an error refunding the transaction: %1.","退还交易记录时出错: %1。"
"Some transactions are already settled or voided and cannot be voided.","有些交易是已经解决或取消，不能作废。"
"Voided capture.","无效的捕获。"
"There was an error voiding the transaction: %1.","无效的交易时出错: %1。"
"Invoice","发货"
"Shipment","装运"
"Authorize","授权"
"Authorize and Capture","授权和获取"
"--Please Select--","-- 请选择 --"
"Invalid Customer ID provided","提供的客户 ID 无效"
"some error","一些错误"
"a,b,c","a、 b、 c"
"Something went wrong while processing.","出了错时处理。"
"error","错误"
"exception","例外"
"Payment Information","支付信息"
"Add new card","添加新卡"
"Please Select","请选择"
"Expiration Date","过期日期"
"Card Verification Number","信用卡验证号码"
"Save this card for future use","保存以备将来使用这张卡"
"or","或者"
"Please confirm that you want to delete this credit card","请确认您要删除的张信用卡"
"Cardholder Name","持卡人姓名"
"Delete","删除"
"Back","后退"
"* Required Fields","*必要字段"
"Credit Card","信用卡"
"CVV","CVV"
"Card Verification Number Visual Reference","信用卡验证号码 视觉参考"
"What is this?","这是什么？"
"Make Default","设为默认"
"Billing Address","账单地址"
"First Name","姓"
"Last Name","姓"
"Company","地址"
"Address","地址"
"City","城市"
"State/Province","州/省"
"Please select region, state or province","请选择一个地区，州或省。"
"Zip/Postal Code","邮编"
"Submit","提交"
"Add Credit Card","添加信用卡"
"Type","类型"
"Card Number","卡号"
"Is Default","为默认值"
"Actions","动作"
"Yes","是"
"No","否"
"Edit","编辑"
"Braintree","布伦特里"
"&nbsp;","&nbsp;"
"Enable this Solution","启用此解决方案"
"Enable PayPal through Braintree","启用通过布伦特里贝宝"
"Basic Braintree Settings","基本Braintree 设置"
"Title","标题"
"Environment","环境"
"Payment Action","支付行为"
"Merchant Account ID","商人帐户 ID"
"Merchant ID","商家ID"
"Public Key","公共密钥"
"Private Key","密钥"
"Advanced Braintree Settings","先进的Braintree 设置"
"Debug","调试"
"Capture action","捕获行动"
"New Order Status","新订单状态"
"Use Vault","使用库"
"Allow Duplicate Cards","允许重复的卡片"
"CVV Verification","CVV验证"
"Credit Card Types","信用卡类型"
"Enable Credit Card auto-detection on Storefront","启用对店面的信用卡自动检测"
"Advanced Fraud Protection","先进的防欺诈保护"
"Your Kount ID","你Kount ID"
"Use Cache","使用高速缓存"
"Sort Order","排序"
"Country Specific Settings","国家/地区特定的设置"
"Payment from Applicable Countries","来自特定国家的付款"
"Payment from Specific Countries","具体国家的付款"
"Country Specific Credit Card Types","国家特定的信用卡类型"
"PayPal through Braintree","布伦特里通过贝宝"
"Override Merchant Name","重写商户名称"
"Display on Shopping Cart","在购物车上的显示"
"Require Customer's Billing Address","需要客户的帐单地址"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","允许编辑航运贝宝一边在结帐时输入地址"
"3D Secure Verification Settings","3D 安全验证设置"
"3D Secure Verification","3D 安全验证"
"Edit My Credit Cards","编辑我的信用卡"
