"Change Encryption Key","这是你的新的加密密钥：<span style=""font-family:monospace;"">%1</span>。' '一定要记下来，并保存好！"
"Encryption Key","加密密钥"
"New Encryption Key","新的加密密钥"
"The encryption key is used to protect passwords and other sensitive data.","加密密钥用于保护密码和其他敏感数据。"
"Auto-generate a Key","自动生成密钥"
"No","否"
"Yes","是"
"The generated key will be displayed after changing.","更改后，将显示生成的密钥。"
"New Key","新的密钥"
"Deployment configuration file is not writable.","部署配置文件不是可写的。"
"Please enter an encryption key.","请输入加密密钥。"
"The encryption key has been changed.","加密密钥已被更改。"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","这是你新的加密密钥: <span style=""font-family:monospace;"">%1</span>。一定要把它写下来，你保存好它!"
