"You saved the alert subscription.","产品有货时，登录后通知"
"There are not enough parameters.","没有足够的参数。"
"We can't update the alert subscription right now.","我们不能更新现在您订阅的提醒。"
"Alert subscription has been saved.","警报订阅已被保存。"
"You deleted the alert subscription.","你删除您订阅的提醒。"
"We can't find the product.","我们找不到该产品"
"You will no longer receive price alerts for this product.","你不会再收到该商品价格提醒。"
"Unable to update the alert subscription.","无法更新订阅的提醒。"
"You will no longer receive stock alerts for this product.","你不会再收到该商品库存提醒。"
"The product was not found.","找不到产品。"
"You will no longer receive stock alerts.","你不会再收到库存变化的提醒。"
"Invalid block type: %1","无效的块类型: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","价格变化警报!我们想让你知道价格换了这些产品:"
"Price:","价格:"
"Click here to stop alerts for this product.","单击此处停止这种产品的警报。"
"Unsubscribe from all price alerts","退订所有价格提醒"
"In stock alert! We wanted you to know that these products are now available:","在股票的警报!我们想让你知道这些产品现已可用:"
"Unsubscribe from all stock alerts","退订所有股票警报"
"Product alerts cron warnings","产品警报 cron 警告"
"%name,","%名称，"
"Product Alerts","产品警报"
"Allow Alert When Product Price Changes","当产品价格发生更改时，允许警报"
"Allow Alert When Product Comes Back in Stock","当产品在股票回来时，允许警报"
"Price Alert Email Template","价格预警电子邮件模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"Stock Alert Email Template","股票预警电子邮件模板"
"Alert Email Sender","警报电子邮件发件人"
"Product Alerts Run Settings","产品警报运行设置"
"Frequency","频率"
"Start Time","平率"
"Error Email Recipient","错误邮件模板"
"Error Email Sender","错误的电子邮件发件人"
"Error Email Template","错误的电子邮件模板"
"Sign up for price alert","报名参加价格提醒"
"Sign up to be notified when this product is back in stock.","报名时这种产品是回来的股票要通知。"
