"Url","URL"
"Title","标题"
"Description","描述"
"Preview Image","预览图像"
"Get Video Information","获取视频信息"
"Hide from Product Page","从产品页面隐藏"
"Role","职能"
"YouTube and Vimeo supported.","YouTube and Vimeo supported."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Click here to add videos.","请单击此处添加视频。"
"New Video","新视频"
"Add Video","Add Video"
"Add video","Add video"
"Click here or drag and drop to add images.","制造基地"
"Delete video","Delete video"
"Delete image","删除图像"
"Make Base","设为原始"
"Hidden","从产品页隐藏"
"Alt Text","Alt 文本"
"Title:","Title:"
"Uploaded:","Uploaded:"
"Uploader:","Uploader:"
"Duration:","Duration:"
"Video Error","Video Error"
"Unknown video type","Unknown video type"
"Invalid video url","Invalid video url"
"Youtube API key is invalid","Youtube API key is invalid"
"Video cant be shown due to the following reason: ","Video cant be shown due to the following reason: "
"Video not found","Video not found"
"Save","保存"
"Cancel","保存"
"Delete","删除"
"Edit Video","Edit Video"
"Images and Videos","图像和视频"
"Product Video","Product Video"
"YouTube API Key","YouTube API Key"
"Autostart base video","Autostart base video"
"Show related video","Show related video"
"Auto restart video","Auto restart video"
