"No token found.","No token found."
"Wrong request.","Wrong request."
"Deletion failure. Please try again.","删除失败。请再试一次。"
"Credit Card was successfully removed","Credit Card was successfully removed"
"My Credit Cards","My Credit Cards"
"Select vault provider","Select vault provider"
"vault_payment1","vault_payment1"
"vault_payment2","vault_payment2"
"Card Number","Card Number"
"Expiration Date","Expiration Date"
"Type","Type"
"You have no credit cards.","You have no credit cards."
"Actions","Actions"
"Delete","Delete"
"Cancel","Cancel"
"Vault Provider","Vault Provider"
"Specified provider should be enabled.","Specified provider should be enabled."
