"Credit card type","设置订单状态避免以邮编AVS涉嫌欺诈"
"CVV result","CVV 结果"
"Postcode AVS check","邮编 AVS 检查"
"Address AVS check","地址 AVS 检查"
"Country comparison check","国家比较检查"
"Risk Score","风险评分"
"Not supported","不支持"
"Not checked","不检查"
"Matched","匹配"
"Not matched","不匹配"
"Partially matched","部分匹配"
"No such order id.","没有此类订单 id。"
"Gateway response is not valid.","网关的响应不是有效的。"
"Wrong response type","错误的反应类型"
"Currency doesn't match.","货币不匹配。"
"Amount doesn't match.","数量不匹配。"
"Not supported response.","不支持响应。"
"Gateway processing error.","网关处理错误。"
"Transaction was not placed.","交易没有达成。"
"None","无"
"Authorize","授权"
"Authorize and Capture","授权和获取"
"Refused","拒绝"
"Authorised","授权"
"Error","错误"
"Captured","捕获"
"Payment was canceled","付款已取消"
"Please ","Please "
"continue shopping","continue shopping"
"Your payment has been successfully processed by our shop system.","我们商店系统已成功处理您的付款。"
"Please click ","Please click "
"here","在这里"
" if you are not redirected automatically."," if you are not redirected automatically."
"Worldpay","苏格兰皇家银行"
"Enabled","启动"
"Title","标题"
"Payment Response Password","支付响应密码"
"Remote Admin Installation ID","远程管理员安装 ID"
"Remote Admin Authorisation Password","远程管理员授权密码"
"MD5 Secret for Transactions","MD5 秘密交易"
"Allow To Edit Contact Information","允许编辑联系信息"
"Hide Contact Information","隐藏的联系信息"
"Debug","调试"
"Test Mode","测试模板"
"Payment Action for Test","测试付款行动"
"Payment Action","支付行为"
"Payment From Applicable Countries","来自特定国家的付款"
"Payment From Specific Countries","具体国家的付款"
"Set Order Status to Suspected Fraud for CVV","对涉嫌欺诈的订单的状态设置为 CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","对涉嫌欺诈的订单的状态设置为邮编 AVS"
"Sort Order","排序"
